iter	Logloss
0	0.5757772737
1	0.5169496955
2	0.4661240703
3	0.4152773213
4	0.3909518966
5	0.370314457
6	0.3575232275
7	0.3406551456
8	0.3335844172
9	0.3244124335
10	0.3115725809
11	0.3021016428
12	0.2884921078
13	0.2803415375
14	0.2699981139
15	0.2609934832
16	0.255570629
17	0.2444000262
18	0.2352450817
19	0.2322972115
20	0.2264247279
21	0.2200917049
22	0.2124456529
23	0.2077432296
24	0.2014739971
25	0.1991458672
26	0.1967257868
27	0.1951809247
28	0.1893455296
29	0.1860141842
30	0.1793096723
31	0.1760833438
32	0.1704954909
33	0.1660190702
34	0.1619424976
35	0.1595738343
36	0.1545024803
37	0.1504791743
38	0.1482962706
39	0.1458381263
40	0.1429106673
41	0.1398206519
42	0.1358203806
43	0.1315055472
44	0.1287112069
45	0.1261072414
46	0.1248234265
47	0.1209829016
48	0.1188440128
49	0.1170391179
50	0.1141266729
51	0.1124449198
52	0.1092148292
53	0.1066943447
54	0.1045323669
55	0.1022066663
56	0.09955200017
57	0.09750033994
58	0.09537487386
59	0.09379152084
60	0.09179162285
61	0.09064922279
62	0.08824410669
63	0.0859674397
64	0.08394343856
65	0.08206087245
66	0.07985856173
67	0.07875695098
68	0.07711687316
69	0.07588965411
70	0.07505422974
71	0.07358668286
72	0.07198917456
73	0.07099050266
74	0.0698522949
75	0.06866545011
76	0.06725647189
77	0.06652847549
78	0.06553740839
79	0.0645955099
80	0.06299266594
81	0.06140557975
82	0.06040106633
83	0.0595389311
84	0.05863861126
85	0.05782873146
86	0.05708008501
87	0.05598121575
88	0.05517700998
89	0.05460191121
90	0.05337029203
91	0.05223134332
92	0.0513084325
93	0.05045717514
94	0.04980466468
95	0.04925660225
96	0.04860770743
97	0.04768576302
98	0.04708080377
99	0.04643375535
