iter	Passed	Remaining
0	101	10096
1	113	5538
2	123	3989
3	133	3215
4	144	2746
5	154	2425
6	163	2175
7	173	1994
8	181	1836
9	190	1713
10	199	1611
11	208	1531
12	217	1455
13	225	1386
14	235	1332
15	243	1278
16	252	1233
17	261	1189
18	271	1159
19	280	1121
20	289	1090
21	298	1058
22	307	1029
23	316	1001
24	324	974
25	334	951
26	342	925
27	350	901
28	359	880
29	371	865
30	379	844
31	388	824
32	400	812
33	412	800
34	423	785
35	434	772
36	446	759
37	456	744
38	465	728
39	475	713
40	487	701
41	498	688
42	507	672
43	517	658
44	525	642
45	534	628
46	544	613
47	552	598
48	561	584
49	570	570
50	579	556
51	588	542
52	597	529
53	605	515
54	614	503
55	623	489
56	631	476
57	640	463
58	649	451
59	660	440
60	669	428
61	680	417
62	689	404
63	698	392
64	711	383
65	720	371
66	729	359
67	738	347
68	746	335
69	756	324
70	764	312
71	774	301
72	783	289
73	793	278
74	801	267
75	810	255
76	819	244
77	828	233
78	841	223
79	857	214
80	878	206
81	889	195
82	900	184
83	910	173
84	921	162
85	932	151
86	941	140
87	950	129
88	959	118
89	968	107
90	977	96
91	989	86
92	998	75
93	1007	64
94	1018	53
95	1035	43
96	1045	32
97	1059	21
98	1073	10
99	1084	0
